Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
Cyril Ngonge,BEL,FWMF,Hellas Verona,Serie A,22,2,1,22,14,63.64,0,2,2,100.0,1,5,1
Ibrahima Niane,SEN,FW,Angers,Ligue 1,23,1,0,13,10,76.92,0,0,0,,0,4,1
Tanguy Nianzou,FRA,DF,Sevilla,La Liga,20,13,1,519,461,88.82,0,0,0,,9,17,0
Hans Nicolussi Caviglia,ITA,MF,Salernitana,Serie A,22,5,1,156,122,78.21,0,2,0,0.0,4,1,1
Fernando Niño,ESP,MF,Villarreal,La Liga,22,1,0,4,4,100.0,0,0,0,,0,0,1
Justin Njinmah,GER,FW,Dortmund,Bundesliga,22,1,0,2,0,0.0,0,0,0,,0,0,1
Eddie Nketiah,ENG,FW,Arsenal,Premier League,23,19,4,198,161,81.31,0,4,0,0.0,8,7,1
Diego Noguerol,ESP,FWDF,Valencia,La Liga,20,1,0,3,3,100.0,0,0,0,,0,0,1
Hugo Novoa,ESP,DFFW,RB Leipzig,Bundesliga,20,7,1,110,79,71.82,0,10,0,0.0,2,3,1
Darwin Núñez,URU,FW,Liverpool,Premier League,23,15,5,210,135,64.29,2,12,1,8.33,3,25,1
Ethan Nwaneri,ENG,FW,Arsenal,Premier League,15,1,0,0,0,,0,0,0,,0,0,1
Brian Ocampo,URU,MFFW,Cádiz,La Liga,23,17,1,344,255,74.13,1,33,6,18.18,15,7,1
Wilson Odobert,FRA,MFFW,Troyes,Ligue 1,18,20,3,251,190,75.7,2,13,3,23.08,9,5,1
Tim Oermann,GER,DF,Bochum,Bundesliga,19,4,0,50,38,76.0,0,0,0,,1,4,1
Caleb Okoli,ITA,DF,Atalanta,Serie A,21,13,0,387,297,76.74,0,1,0,0.0,17,40,1
Olasagasti,ESP,MFDF,Real Sociedad,La Liga,22,3,0,50,40,80.0,0,0,0,,4,2,1
Finn Ole Becker,GER,MF,Hoffenheim,Bundesliga,22,2,0,7,6,85.71,0,0,0,,0,0,1
Mathias Olesen,LUX,MF,Köln,Bundesliga,21,7,0,58,44,75.86,0,1,0,0.0,2,1,1
Michael Olise,FRA,MFFW,Crystal Palace,Premier League,21,21,2,739,519,70.23,4,111,6,5.41,17,6,0
Lucas Oliveira Rosa,BRA,DF,Valladolid,La Liga,22,10,0,246,178,72.36,0,14,1,7.14,9,8,1
Warmed Omari,FRA,DF,Rennes,Ligue 1,22,2,0,162,151,93.21,0,0,0,,0,9,1
Amadou Onana,BEL,MF,Everton,Premier League,21,19,1,629,530,84.26,1,3,0,0.0,33,33,0
Jean Onana,CMR,MF,Lens,Ligue 1,23,11,0,192,166,86.46,0,2,1,50.0,8,3,1
Loïs Openda,BEL,FW,Lens,Ligue 1,22,22,9,256,176,68.75,1,16,1,6.25,4,6,1
Aimar Oroz,ESP,MFFW,Osasuna,La Liga,21,16,3,373,286,76.68,1,4,0,0.0,6,9,1
Pedro Ortiz,ESP,MF,Sevilla,La Liga,22,1,0,0,0,,0,0,0,,0,0,1
Patrick Osterhage,GER,MFFW,Bochum,Bundesliga,23,13,0,140,92,65.71,0,4,0,0.0,6,5,1
Dango Ouattara,BFA,MF,Bournemouth,Premier League,21,3,0,67,46,68.66,2,10,3,30.0,3,9,1
Dango Ouattara,BFA,FWMF,Lorient,Ligue 1,21,18,6,444,267,60.14,5,33,2,6.06,26,37,1
Zinédine Ould Khaled,FRA,MFFW,Angers,Ligue 1,23,2,0,27,26,96.3,0,0,0,,0,1,1
Azzedine Ounahi,MAR,MF,Marseille,Ligue 1,22,3,1,38,35,92.11,0,0,0,,0,0,1
Azzedine Ounahi,MAR,MFFW,Angers,Ligue 1,22,15,0,632,544,86.08,0,17,1,5.88,8,5,0
Cenk Özkacar,TUR,DF,Valencia,La Liga,22,6,0,362,307,84.81,0,0,0,,7,22,1
